"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Wdr45b",4069.35231353005,1.50905292021161e-05,0.00144256372635964,0.174518368390209,0.999901117806217
"Rab40b",680.60909171023,9.85055548691093e-06,0.00144261699188068,0.234464393144808,0.999901117806217
"Fn3krp",491.702814676037,4.90798304802231e-06,0.00144263658177948,0.466059063830027,0.999901117806217
"Fn3k",6.04506891093632,-7.82499780757997e-07,0.00144269274511464,0.549158806721595,0.999901117806217
"Tbcd",3759.55593883209,-2.56605655280355e-07,0.00144260606537453,0.972956700042695,0.999901117806217
"B3gntl1",773.637593127311,7.59412003971436e-06,0.00144261746603112,0.0631296686814492,0.999901117806217
"Metrnl",10885.8330365225,1.46281395733942e-06,0.00144263420335054,0.82751133491231,0.999901117806217
"Gm12589",6.95230267316325,2.1515604640251e-06,0.00144269387281796,0.0765440285218445,0.999901117806217
"Gm45925",1.93776237063628,2.87026934683237e-07,0.00144269456135762,0.634975372949161,0.999901117806217
"Rab10os",1313.15582724475,-1.14627428390136e-05,0.00144263685533344,0.133407521467888,0.999901117806217
"Rab10",12040.9446493712,1.05751444144114e-06,0.00144258425475915,0.90710471033345,0.999901117806217
"Gm26520",3.2597141455591,5.65112146421972e-07,0.00144269378145169,0.563860790393021,0.999901117806217
"Kif3c",1650.31378341937,2.0556625451935e-06,0.00144254703206496,0.843780373172272,0.999901117806217
"1110002L01Rik",280.314678491745,6.45082029500894e-06,0.00144265166688899,0.286793101576956,0.999901117806217
"Asxl2",1758.06584597916,4.89971132557024e-06,0.00144265514323687,0.386243557609572,0.999901117806217
"Gm31332",3.49512619674467,2.86800044451771e-07,0.00144269344921628,0.792351742158231,0.999901117806217
"Dtnb",625.987254586516,-4.08988914069291e-06,0.0014426107573638,0.613029868487913,0.999901117806217
"Dnmt3a",5278.589987039,3.40442304481971e-06,0.00144263272130386,0.618254971899112,0.999901117806217
"Pomc",14.2212544117888,-2.9043147396332e-06,0.00144269105626995,0.145514459511197,0.999901117806217
"Efr3b",304.363026542276,-4.92593967501887e-06,0.00144265931525509,0.357617104305873,0.999901117806217
"Dnajc27",843.651619114637,3.45438381764142e-06,0.00144261884849398,0.646755400934455,0.999901117806217
"Adcy3",4864.18559404266,-6.50028626382836e-06,0.00144262640915949,0.378986021172219,0.999901117806217
"Cenpo",417.044886093768,-7.02176290972678e-06,0.0014426185832125,0.36955136949863,0.999901117806217
"Ptrhd1",309.687611215678,4.0714475296927e-06,0.00144263677017213,0.540657234253751,0.999901117806217
"Ncoa1",4262.30172241726,-2.65535717919946e-06,0.00144261971074123,0.719619346196616,0.999901117806217
"2900045O20Rik",2.32267370702235,-8.90693090540011e-08,0.00144269406918593,0.913302244835894,0.999901117806217
"Gm3625",37.3339651276125,-6.8352045962193e-06,0.00144268707033387,0.0449718716518014,0.999901117806217
"Itsn2",4832.01804475447,4.45554428420435e-06,0.00144256497612732,0.650981389000643,0.999901117806217
"Fam228a",10.6628235699094,1.24921000209871e-06,0.00144269187360404,0.431157752143549,0.999901117806217
"Fam228b",83.1674797857558,8.39228964923637e-07,0.00144267369930003,0.832123435159407,0.999901117806217
"Pfn4",20.5537842649599,-9.16479430593933e-07,0.00144268561980427,0.726341032638017,0.999901117806217
"Gm6682",8.38456818404799,-8.56965150843668e-07,0.00144269203584624,0.568396997969043,0.999901117806217
"Sf3b6",1953.16354233393,4.28996881379631e-06,0.00144266680122556,0.369316827837061,0.999901117806217
"Fkbp1b",165.112371927424,7.67363912564978e-07,0.00144265092706707,0.893044766513457,0.999901117806217
"Wdcp",446.122184784845,7.29368467684626e-06,0.00144264440836118,0.268081824498744,0.999901117806217
"Mfsd2b",57.0606187368835,1.62814133337168e-06,0.00144267868278819,0.641453355369021,0.999901117806217
"Ubxn2a",1320.27349099128,8.50233876064497e-07,0.00144263070239038,0.902038088031753,0.999901117806217
"Atad2b",2598.46812942023,-1.29525067582929e-05,0.00144264008460601,0.90091456972155,0.999901117806217
"Klhl29",1943.46524324075,-6.26477232240751e-06,0.00144264893448032,0.310002796369015,0.999901117806217
"2810032G03Rik",134.763938120778,5.19087683879433e-06,0.0014426690394111,0.27066047018398,0.999901117806217
