"","NEG1","NEG2","NEG3","NEG4","POS1","POS2","POS3","POS4"
"Gm50338",5,3,10,1,6,1,4,7
"Gm6978",5,6,19,7,13,7,12,10
"A330084C13Rik",0,2,11,5,2,9,11,10
"Nedd4l",961,1221,1435,1245,1314,1815,1737,2491
"Gm29966",2,0,0,0,0,0,0,0
"Alpk2",34,28,36,43,28,20,8,53
"Gm41757",0,0,0,1,1,0,0,0
"Gm50221",0,0,0,1,0,0,0,0
"Gm46618",0,0,2,0,0,0,0,0
"Gm22567",2,0,0,0,0,0,0,2
"Malt1",622,736,928,762,752,755,1039,1218
"Gm50246",0,2,1,1,0,2,0,0
"Gm30018",0,1,1,1,0,0,2,0
"Gm41760",18,33,39,43,25,49,48,64
"Zfp532",1931,2511,3348,3126,2557,2761,2984,4567
"Gm37643",1,1,2,1,1,0,2,3
"Gm50115",1,0,1,1,1,0,0,1
"Gm50462",101,123,108,93,104,78,99,81
"Oacyl",52,131,157,116,107,125,121,198
"Sec11c",1075,1462,1163,1008,1089,1615,1472,1628
"Gm50174",0,0,0,1,0,0,0,1
"Rax",1,4,7,1,0,1,4,4
"Cplx4",0,3,2,2,0,0,0,4
"Lman1",12048,16974,20645,18357,16136,19904,17612,34959
"Ccbe1",1222,1695,2569,1991,1921,1377,2242,2602
"Gm50143",7,4,11,10,5,13,10,14
"Gm15958",22,19,18,16,10,8,7,21
"Pmaip1",633,1172,1187,1215,788,1132,1163,1142
"Gm50156",0,1,3,0,0,3,0,0
"Gm9926",0,0,0,2,0,0,0,0
"Mc4r",0,2,0,0,0,1,0,1
"Gnal",53,68,47,55,52,39,63,52
"Gm50169",0,3,2,1,0,2,1,2
"Chmp1b",2315,2215,2606,2530,2462,2615,3141,4398
"Mppe1",1725,1827,1985,1769,1853,1814,2051,2562
"Impa2",416,619,511,550,465,537,641,787
"B430212C06Rik",0,0,1,0,0,0,3,0
"Cidea",0,0,1,0,0,0,5,1
"Tubb6",13331,15646,22106,16553,17983,29081,21760,25075
"Afg3l2",2333,2865,3499,2702,2722,3901,3182,4919
"Prelid3a",11,14,13,13,10,15,24,9
"Spire1",1217,1691,2131,1720,1545,2209,1877,2915
"Gm17669",5,1,2,1,3,12,4,5
"Cep76",431,407,641,552,590,671,670,1132
"Psmg2",1086,1375,1235,990,1024,1437,1312,1464
"Ptpn2",1318,1771,1868,1909,1730,2971,2444,2588
"4930549G23Rik",0,0,0,0,0,2,0,1
"Gm26910",21,27,21,15,22,15,36,42
"Seh1l",2306,2473,3261,2708,2761,3675,3897,5378
"Cep192",1351,1586,2233,1937,1719,1885,2331,3252
"Gm8887",0,1,0,0,0,1,0,0
"Ldlrad4",2243,2589,3969,3680,3341,3509,3999,7407
"Gm41764",0,0,0,0,2,0,0,0
"Fam210a",1700,1828,2664,2086,2192,2294,2702,4129
"Rnmt",1131,1455,1206,1224,1250,1463,1678,2072
"Mc5r",2,8,8,19,6,7,8,7
"Mc2r",0,1,6,1,4,1,0,3
"Gm29677",0,0,1,0,0,0,0,0
"Gm30641",0,1,0,0,0,2,0,3
"Gm31294",0,0,2,0,0,0,0,0
"A730085E03Rik",0,2,0,1,0,0,0,0
"Tcf4",12801,16037,15731,13896,12086,12929,16938,23559
"Ccdc68",346,314,342,305,285,244,508,334
"4930448D08Rik",2,0,2,7,3,0,1,10
"Rab27b",503,289,544,434,318,287,358,414
"Dynap",0,0,0,0,0,5,0,0
"4930503L19Rik",1019,1185,1075,1184,1093,1259,1520,1982
"Stard6",45,44,47,32,36,38,64,67
"Poli",445,487,508,446,469,490,587,787
"Mbd2",7142,7385,9010,7299,7079,9279,9466,11888
"Gm8934",1,5,0,0,0,2,1,3
"Gm18963",4,1,0,0,1,1,0,0
"Dcc",7,0,3,1,0,0,0,2
"Gm6995",0,0,0,0,0,1,1,0
"Mex3c",4109,3743,6011,5548,4880,5933,6836,8241
"Smad4",5379,5706,7726,6428,6229,7155,8059,10241
"Elac1",1296,1212,1445,1122,1225,1236,1556,1990
"Me2",1990,2146,2738,2033,2176,2459,2769,3308
"Mro",6,7,5,6,17,15,10,20
"Mapk4",239,199,236,264,291,450,213,421
"Gm9925",3,0,0,0,0,0,0,0
"Ska1",18,38,15,23,24,57,45,42
"Cxxc1",3738,4713,5081,4199,4354,5851,5750,7593
"Gm5690",0,0,0,0,0,0,0,1
"Mbd1",2944,3023,4193,3880,3780,4725,5144,6007
